1,,"46.1140","43.4540","46.1390","43.4540",
2,,"46.1380","43.4540","46.1470","43.4650",
3,,"46.1460","43.4660","46.1420","43.6690",
4,,"46.1410","43.670","46.1550","43.6730",
5,,"46.1560","43.6730","46.6840","43.6840",
6,,"46.1970","43.6750","46.2010","43.4770",
7,,"46.2010","43.4770","46.2050","43.4610",
8,,"46.2180","43.6730","46.2220","43.5160",
9,,"46.2220","43.5150","46.2230","43.4850",
10,,"46.2230","43.4840","46.2270","43.4770",
11,,"46.2260","43.4770","46.2530","43.4770",
12,,"46.2530","43.4780","46.2570","43.4770",
13,,"46.2560","43.4780","46.2550","43.520",
14,,"46.2550","43.520","46.2510","43.5320",
15,,"46.250","43.5330","46.2470","43.5420",
16,,"46.2460","43.5430","46.2450","43.6740",
17,,"46.310","43.6760","46.3120","43.4820",
18,,"46.3110","43.5280","46.2720","43.5270",
19,,"46.2710","43.5280","46.2720","43.5150",
20,,"46.2720","43.5150","46.3010","43.5160",
21,,"46.3110","43.5720","46.4820","43.5740",
22,,"46.4820","43.5740","46.4820","43.6230",
23,,"46.4810","43.6240","46.3320","43.6260",
24,,"46.330","43.6770","46.3310","43.6260",
25,,"46.4810","43.5730","46.480","43.480",
26,,"46.480","43.4790","46.3780","43.4810",
27,,"46.4820","43.480","46.5080","43.4830",
28,,"46.5070","43.4830","46.5570","43.4820",
29,,"46.5570","43.4830","46.5950","43.4830",
30,,"46.5950","43.4840","46.6120","43.4850",
31,,"46.4820","43.6240","46.6020","43.6250",
32,,"46.6030","43.6250","46.6140","43.6240",
33,,"46.6140","43.6250","46.6160","43.6180",
34,,"46.6150","43.6180","46.610","43.6120",
35,,"46.6020","43.6240","46.6060","43.6180",
36,,"46.6060","43.6180","46.6080","43.6110",
37,,"46.6080","43.6110","46.6110","43.4850",
38,,"46.680","43.5840","46.4810","43.5840",
39,,"46.4220","43.6780","46.4220","43.6260",
40,,"46.380","43.6780","46.3790","43.6260",
41,,"46.4020","43.6480","46.4230","43.6480",
42,,"46.4240","43.6480","46.4460","43.6480",
43,,"46.4460","43.6490","46.4620","43.6480",
44,,"46.3710","43.6240","46.3710","43.6150",
45,,"46.3710","43.6150","46.3930","43.6160",
46,,"46.3930","43.6160","46.3930","43.6250",
47,,"46.4860","43.6250","46.4860","43.6530",
48,,"46.5060","43.6260","46.5060","43.6320",
49,,"46.680","43.6850","46.680","43.5860",
50,,"46.680","43.4960","46.6810","43.5860",
51,,"46.680","43.4870","46.6790","43.4960",
52,,"46.8020","43.4890","46.6790","43.4860",
53,,"46.8020","43.4890","46.8090","43.4840",
54,,"46.8090","43.4830","46.8160","43.310",
55,,"46.8150","43.310","46.4990","43.3070",
56,,"46.6740","42.9730","46.6680","43.310",
57,,"46.8160","43.3090","46.8170","43.2910",
58,,"46.8160","43.2910","46.8130","43.0140",
59,,"46.7910","43.3110","46.7830","43.4190",
60,,"46.7890","43.3370","46.8140","43.3360",
61,,"46.8150","43.3590","46.8490","43.3570",
62,,"46.8510","43.3590","46.8470","43.3990",
63,,"46.8150","43.310","47.3360","43.3140",
64,,"47.3350","43.3150","47.3860","43.3120",
65,,"47.3860","43.3130","47.5090","43.2760",
66,,"47.5090","43.2770","47.4340","43.0180",
67,,"47.5090","43.2750","47.9930","43.10",
68,,"47.3020","43.3140","47.3070","43.4140",
69,,"47.3070","43.4150","47.3250","43.4150",
70,,"47.3260","43.4160","47.3270","43.3820",
71,,"47.3260","43.3830","47.350","43.3790",
72,,"47.3490","43.380","47.3540","43.3680",
