-0.213950	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	-2.825671	
1.634875	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	3.368975	
-1.062644	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	-0.572923	
-1.383095	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	0.161036	
-1.744583	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	-0.381763	
-0.587536	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	0.010678	
0.012349	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	-0.329673	
-0.162725	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	-0.162839	
-1.428006	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	-0.357950	
-1.921260	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	-0.237921	
-0.148904	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	0.310747	
-1.900230	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	-1.137013	
-1.571319	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	-0.051177	
