23.201804	17.824890	13.856940	14.871379	16.766720	17.513651	17.302400	17.532499	17.239523	17.433500	17.612094	17.760010	17.950485	17.482929	16.811715	16.415261	14.489405	
1.469136	-4.555888	-6.053085	-2.408555	1.670598	0.792372	0.952264	0.680891	1.160574	1.105471	1.367891	1.531491	1.429528	1.377424	1.191213	2.309364	2.729736	
-2.786861	-2.360604	0.635370	3.065070	2.105435	2.145851	1.684358	2.117379	1.740256	1.926051	1.492819	1.637939	2.349723	2.005302	2.062932	1.765116	1.566243	
-4.806499	-5.250407	-4.128225	-4.084909	0.647086	-0.166176	-0.436026	-0.369189	-0.210792	-0.062583	-0.071815	-0.231286	-0.012979	-0.374505	-0.206680	-0.137313	0.397276	
1.405923	3.161443	0.094988	-2.178052	1.027412	2.251115	1.971124	2.378063	2.043329	1.793010	2.128372	1.965273	2.084680	1.965673	1.694851	1.584720	1.754576	
-0.302028	-2.231229	-3.190933	-3.012143	0.730022	1.961164	2.308986	2.149000	2.089694	2.107348	1.825063	2.340362	2.019679	2.036529	2.213399	2.250518	2.283444	
-1.534276	-0.328277	3.013581	4.332816	1.832472	2.245684	1.949291	2.308265	1.823370	2.041713	1.621627	1.718050	1.949597	2.188740	2.196288	1.649360	1.866384	
-3.257426	-1.217983	0.263764	-1.420593	1.300600	0.518461	0.511363	0.261696	0.423347	0.532843	-0.105355	-0.429864	-0.255287	0.224828	0.241978	0.278122	1.113725	
2.004769	4.975379	3.218016	1.798216	1.550688	3.313678	3.421060	3.185833	3.559241	3.308524	2.714537	2.457529	2.530265	2.808008	2.803538	2.259959	1.888400	
1.131384	-1.238764	-3.460267	-2.707059	0.645264	0.824064	1.254812	0.877096	0.695820	1.139030	1.274305	1.284345	1.181075	1.403679	1.393606	1.012045	1.226640	
2.013401	0.450520	0.467887	1.774677	0.615990	0.339703	0.738716	0.323584	0.668955	0.312946	-0.555904	-0.143684	-0.423281	0.219412	0.265689	-0.091765	0.114011	
-0.216138	-1.554123	-0.400675	-1.189797	0.338362	0.279303	0.695611	0.538493	0.267109	0.594256	-0.295776	0.044090	-0.064580	0.357378	0.566205	0.373545	0.307488	
-1.009121	0.606754	-0.074368	-1.799886	-1.482578	-0.206513	-0.173909	-0.249381	-0.210962	-0.443182	-0.464299	-0.645910	-0.837466	-0.586364	-0.206100	-0.351147	-0.438007	
-2.381997	-2.288557	-2.581852	-0.766756	0.384310	0.984398	1.115674	0.847747	0.644992	0.556754	0.357572	0.917128	0.770272	0.815363	0.658866	0.542592	-0.004892	
0.123224	0.805099	1.512201	1.236173	-0.168851	0.242239	0.137754	0.163418	-0.056782	-0.010725	0.417009	0.370984	0.239863	0.243269	0.369384	0.226161	0.461138	
-1.589385	-2.849259	-2.327080	-1.771124	-0.327413	0.305471	0.136757	0.288784	0.350260	0.107596	0.411324	0.045165	0.046491	-0.009003	0.281042	0.307551	0.484258	
-1.410371	-1.830946	-0.831812	0.678857	-0.139404	-0.194047	-0.108824	-0.064881	0.002592	-0.042986	-0.423090	0.210216	0.199288	0.433039	0.213915	0.181075	0.187647	
0.151112	-0.973112	-1.402038	-0.755959	-0.529483	-0.533584	-0.757254	-0.655476	-0.445896	-0.732912	-0.670696	-0.493014	-0.434045	-0.503460	-0.723565	-0.368469	-0.758549	
-1.373054	-2.030381	-1.294171	-0.280251	0.047137	-0.714001	-0.984916	-0.666033	-0.585746	-0.531968	-0.227152	-0.264829	-0.092883	-0.614257	-0.630676	-0.460987	-0.549939	
0.255600	0.448164	-0.339713	-0.500235	-0.224961	-0.791357	-1.181771	-0.935953	-0.666080	-0.500408	-0.093487	-0.366228	-0.477409	-0.815927	-0.906368	-0.744700	-0.466882	
-1.234956	-0.602241	-0.491528	-0.185736	-0.292235	-1.251168	-1.173470	-1.116899	-0.953373	-1.025894	-0.358137	-0.623539	-0.923578	-0.802874	-0.962705	-0.810387	-0.735874	
-0.649006	0.030835	-0.236711	-0.166690	-0.167777	-0.656291	-0.749639	-0.718357	-0.498403	-0.711838	-0.460886	-0.492212	-0.317448	-0.585024	-0.979453	-0.271263	-0.661005	
-0.092614	0.113308	0.296673	0.082068	0.103474	-0.262811	-0.505329	-0.220060	-0.635062	-0.133003	-0.017424	0.015531	0.428072	-0.108058	-0.215852	-0.146936	-0.135120	
0.733019	0.833853	0.659424	0.471848	-0.110498	-0.289184	-0.455142	-0.399115	-0.309349	-0.118888	0.200012	-0.451081	-0.265328	-0.641588	-0.469300	-0.503106	-0.138095	
1.073957	0.781356	1.126434	0.459098	0.350863	0.228752	0.382318	0.042914	0.121735	0.294889	0.308973	0.352573	0.282770	0.042733	0.259195	0.205615	0.199598	
1.597187	1.716737	1.323402	0.622229	0.417794	0.401977	0.547020	0.259764	0.154345	0.226830	0.138523	0.000565	-0.159085	-0.154170	-0.136934	0.029697	-0.004091	
1.722783	2.080589	1.607816	-0.061147	-0.171579	0.133903	0.086228	0.105883	0.043674	0.228500	0.164664	-0.190459	0.041640	0.010600	0.001959	-0.249962	-0.239786	
1.906743	2.247408	1.131477	0.128724	0.000124	-0.462868	-0.432279	-0.440015	-0.539655	-0.367772	-0.473773	-0.245232	-0.197398	-0.183159	-0.005973	-0.144226	0.062227	
1.699027	1.729204	1.245122	0.467770	0.256582	0.128671	0.175514	0.151165	0.100548	-0.002497	-0.193777	0.104269	-0.095408	0.007486	-0.007169	-0.125766	-0.090130	
1.258053	1.760666	1.308812	0.415534	-0.006498	0.062766	0.345420	0.302044	0.210928	0.080152	0.082575	0.233240	-0.170969	0.331701	0.276683	0.153288	0.023400	
0.411055	1.084981	1.462891	1.229319	0.205910	0.253010	0.309909	0.254905	0.208855	0.301988	0.234760	0.186097	0.060862	0.336502	0.297038	0.104757	-0.179965	
-0.107452	0.434374	0.910694	1.041376	0.052359	-0.147200	-0.095217	0.000280	0.078968	-0.030104	0.127275	0.228650	-0.153137	-0.068597	0.080736	-0.186932	-0.385009	
-0.576307	-1.061470	-0.260578	0.400610	-0.090376	0.284814	0.231461	0.166499	0.251151	0.071272	0.106365	0.192884	-0.037280	0.217968	0.188753	0.223368	-0.089771	
-1.178874	-1.950298	-1.581989	-0.452854	0.070295	0.795000	0.938008	0.862154	0.815846	0.563794	0.438096	0.517704	0.313517	0.747626	0.698474	0.771579	0.493546	
-1.269752	-2.280797	-1.971231	-0.841803	0.129386	0.499966	0.775073	0.839151	0.718495	0.587346	0.314714	0.338361	0.602298	0.921585	0.769691	0.637690	0.474233	
-1.382901	-1.418490	-1.243091	-0.371831	0.155628	0.415560	0.158590	0.349413	0.422997	0.231680	-0.120204	-0.009072	0.281434	0.420336	0.570404	0.394128	0.287808	
-0.321067	-0.376558	-0.601211	-0.080067	-0.190802	0.363050	0.311871	0.210365	0.264784	0.156602	0.006543	-0.007200	0.197467	0.010597	0.069560	0.109356	0.108529	
0.734618	0.704210	0.298529	-0.010904	-0.090027	0.117137	0.258939	0.089442	0.221155	0.170282	-0.126065	-0.154865	0.076794	0.109895	0.096487	0.008828	-0.027769	
0.634170	0.427104	0.304748	0.035431	0.042626	0.082997	0.088516	0.211561	0.161000	0.170339	0.101893	0.168110	-0.007287	0.231879	0.244269	0.156153	0.088742	
