0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359	0.014359
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621	-0.010621
