 287 0 158 308 178 262 
  149 1 86 305 105 293 
  115 2 122 305 142 295 
  120 3 432 305 449 294 
  124 4 454 305 471 294 
  26 5 200 301 203 293 
  31 6 486 301 490 293 
  312 7 28 290 52 261 
  351 8 82 290 108 261 
  148 9 495 290 513 263 
  187 10 519 290 538 263 
  195 11 139 289 155 262 
  302 12 183 289 205 262 
  267 13 213 289 232 262 
  271 14 240 289 258 262 
  312 15 265 289 286 262 
  294 16 295 289 314 262 
  256 17 320 289 342 262 
  296 18 348 289 370 262 
  204 19 372 289 388 262 
  147 20 396 289 405 262 
  144 21 408 289 417 262 
  316 22 421 289 443 262 
  204 23 448 289 467 263 
  289 24 469 289 491 262 
  117 25 16 288 24 261 
  280 26 57 288 76 261 
  255 27 115 288 133 262 
  160 28 448 257 464 243 
  317 29 149 224 170 178 
  109 30 223 222 241 210 
  118 31 343 222 361 210 
  119 32 535 222 553 211 
  116 33 406 221 426 212 
  120 34 275 219 295 209 
  34 35 468 218 471 210 
  335 36 450 208 475 179 
  325 37 273 207 298 178 
  326 38 395 207 420 179 
  276 39 366 206 390 179 
  280 40 426 206 445 179 
  178 41 478 206 497 179 
  194 42 502 206 518 180 
  325 43 524 206 546 180 
  321 44 552 206 578 180 
  122 45 16 205 25 178 
  121 46 28 205 37 178 
  307 47 41 205 63 178 
  314 48 69 205 96 178 
  218 49 100 205 119 178 
  261 50 128 205 146 178 
  316 51 173 205 200 178 
  136 52 205 205 214 178 
  307 53 219 205 241 178 
  308 54 247 205 268 178 
  201 55 301 205 317 179 
  146 56 325 205 334 179 
  248 57 338 205 360 179 
  156 58 130 173 146 159 
  24 59 89 147 91 140 
  111 60 28 136 48 127 
  119 61 132 136 149 125 
  56 62 83 132 91 123 
  333 63 443 123 467 95 
  140 64 226 121 244 94 
  250 65 302 121 324 94 
  316 66 331 121 352 94 
  141 67 357 121 375 95 
  275 68 397 121 416 95 
  149 69 420 121 438 95 
  313 70 472 121 498 95 
  294 71 14 120 39 94 
  173 72 45 120 64 94 
  289 73 71 120 92 94 
  142 74 96 120 114 94 
  288 75 121 120 142 94 
  178 76 148 120 167 94 
  267 77 176 120 194 94 
  239 78 200 120 222 94 
  205 79 249 120 268 94 
  289 80 272 120 296 94 
  133 81 382 120 392 95 
  95 82 500 120 517 112 
  98 83 500 104 517 96 
  88 84 287 89 296 76 
  31 85 273 65 276 57 
  103 86 78 57 94 42 
  159 87 207 56 227 42 
  106 88 162 54 182 45 
  117 89 256 51 276 43 
  297 90 15 50 39 12 
  267 91 47 38 66 12 
  194 92 71 38 90 12 
  276 93 94 38 118 12 
  329 94 125 38 149 12 
  296 95 152 38 173 12 
  269 96 180 38 202 12 
  270 97 204 38 227 12 
  173 98 233 38 248 12 
  269 99 255 38 277 12 
  326 100 283 38 310 12 
 
