"<DEL>","#1"
"<CLEAR>","#0"
"è","41"
"è","52"
"è","63"
"é","1142"
"é","143"
"é","145"
"é","146"
"é","1143"
"é","1145"
"é","1146"
"é","253"
"é","243"
"é","246"
"é","2253"
"é","2243"
"é","2246"
"ê","415263"
"ê","425363"
"ê","415363"
"ë","1412"
"ë","1421"
"ë","1214"
"ë","1325"
"ë","2513"
"ë","2512"
"ë","2523"
"ë","2325"
"ç","543"
"ç","643"
"ì","42"
"ì","442"
"ì","43"
"ì","443"
"ì","53"
"ì","553"
"Ñ","113"
"Ñ","446"
"Ñ","1153"
"Ô","6426"
"Õ","64263"
"Ö","642633"
"×","642623"
"×","642632"
"à","177"
"à","771"
"á","177288"
"á","771882"
"â","713"
"â","7713"
"â","8213"
"â","88213"
"ä","88241"
"ä","88251"
"ä","88254"
"ä","99341"
"ä","99351"
"ä","99352"
"ä","99354"
"ä","99361"
"ä","99362"
"ä","99364"
"ä","99365"
"ã","88214"
"ã","99314"
"ã","99315"
"ã","99324"
"ã","99325"
"Ð","445778"
"Ð","446779"
"Ð","112778"
"Ð","113779"
"Ò","128"
"Ò","139"
"Ò","239"
"Ó","11239"
"Ó","11128"
"Ó","11569"
"Ó","11458"
"æ","4128"
"æ","4139"
"æ","1128"
"æ","1139"
"æ","5239"
"Ï","1439"
"Ï","1539"
"Ï","1639"
"Ø","447"
"Ø","558"
"Ù","4475"
"Ù","4485"
"Ù","44785"
"Ä","87399"
"Æ","78399"
"í","11"
" ","00"
"ñ","01"
"ò","02"
"ó","03"
"ô","04"
"õ","05"
"ö","06"
"÷","07"
"ø","08"
"ù","09"
"0","0"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"A","#2"
"B","#22"
"C","#222"
"D","#3"
"E","#33"
"F","#333"
"G","#4"
"H","#44"
"I","#444"
"J","#5"
"K","#55"
"L","#555"
"M","#6"
"N","#66"
"O","#666"
"P","#7"
"Q","#77"
"R","#777"
"S","#7777"
"T","#8"
"U","#88"
"V","#888"
"W","#9"
"X","#99"
"Y","#999"
"Z","#9999"
